Date,Shift,Cycle,SampleNo,PartName,ModelName,CMMName,ref,ID,point,Parameter,Nominal,Uppertol,Lowertol,Actual,Deviation,Judgement,KP,Category
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A005,N0049,Posisi X,Pos. X,0.0,0.05,-0.05,0.0,0.0,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A005,N0049,Posisi Y,Pos. Y,0.0,0.05,-0.05,0.0,0.0,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A002,N0073,Posisi X From A001,Pos. X,120.3,0.05,-0.05,120.292,-0.008,OK,1,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A003,N0073,Posisi X From A006,Pos. X,120.3,0.05,-0.05,120.292,-0.008,OK,1,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A002,N0073,Posisi Y From A001,Pos. Y,67.5,0.05,-0.05,67.549,0.049,OK,1,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A001,N0078,Posisi X,Pos. X,56.3,0.05,-0.05,56.293,-0.007,OK,1,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A001,N0078,Posisi Y,Pos. Y,33.0,0.05,-0.05,33.006,0.006,OK,1,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A000-1,N0079,Flatness Surface (a),Flatness,0.0,0.05,-0.0,0.0,0.0,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A000-1,N0080,Flatness adjacent bosses,Flatness,0.0,0.03,-0.0,0.0,0.0,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A000-2,N0080,Flatness adjacent bosses,Flatness,0.0,0.03,-0.0,0.0,0.0,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A041,N0084,Posisi X,Pos. X,76.2,0.2,-0.2,76.401,0.201,NG,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A041,N0084,Posisi Y,Pos. Y,45.5,0.2,-0.2,45.802,0.302,NG,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A042,N0088,Posisi X,Pos. X,60.0,0.2,-0.2,60.07,0.07,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A042,N0088,Posisi Y,Pos. Y,107.0,0.2,-0.2,107.338,0.338,NG,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A043,N0092,Posisi X,Pos. X,0.5,0.2,-0.2,0.48,-0.02,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A043,N0092,Posisi Y,Pos. Y,117.0,0.2,-0.2,117.1,0.1,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A044,N0096,Posisi X,Pos. X,58.0,0.2,-0.2,58.064,0.064,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A044,N0096,Posisi Y,Pos. Y,90.5,0.2,-0.2,90.467,-0.033,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A045,N0100,Posisi X,Pos. X,57.3,0.2,-0.2,57.43,0.13,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A045,N0100,Posisi Y,Pos. Y,37.0,0.2,-0.2,37.084,0.084,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A046,N0104,Posisi X,Pos. X,3.0,0.2,-0.2,2.948,-0.052,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A046,N0104,Posisi Y,Pos. Y,63.0,0.2,-0.2,62.836,-0.164,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A047,N0108,Posisi X,Pos. X,59.0,0.2,-0.2,59.017,0.017,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A047,N0108,Posisi Y,Pos. Y,53.0,0.2,-0.2,52.783,-0.217,NG,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A030,N0112,Posisi X Reamer 8H8,Pos. X,12.5,0.05,-0.05,12.458,-0.042,OK,1,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A030,N0112,Posisi Y Reamer 8H8,Pos. Y,61.6,0.05,-0.05,61.623,0.023,OK,1,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A019,N0119,Posisi X,Pos. X,79.5,0.2,-0.2,79.484,-0.016,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A019,N0119,Posisi Y,Pos. Y,76.0,0.2,-0.2,76.105,0.105,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,B078,N0123,Posisi X,Pos. X,79.0,0.2,-0.2,79.212,0.212,NG,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,B078,N0123,Posisi Y,Pos. Y,95.0,0.2,-0.2,95.217,0.217,NG,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A000-2,N0137,Flatness Surface (a),Flatness,0.0,0.05,-0.0,0.043,0.043,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A020,N0154,Posisi X,Pos. X,264.5,0.2,-0.2,264.518,0.018,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A020,N0154,Posisi Y,Pos. Y,47.0,0.2,-0.2,46.919,-0.081,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,-,N0158,-,Pos. X,349.0,0.2,-0.2,348.997,-0.003,OK,0,QIS
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A008,N0158,Posisi Y,Pos. Y,0.0,0.05,-0.05,0.04,0.04,OK,1,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,-,N0162,-,Pos. X,297.41,0.2,-0.2,297.403,-0.007,OK,0,QIS
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,-,N0162,-,Pos. Y,12.13,0.2,-0.2,12.148,0.018,OK,0,QIS
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A007,N0166,Distance From A006,Distance,47.0,0.03,-0.03,47.005,0.005,OK,1,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A007,N0168,Distance From A008,Distance,53.0,0.03,-0.03,52.996,-0.004,OK,1,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A048,N0172,Posisi X From A006,Pos. X,20.0,0.2,-0.2,20.011,0.011,OK,0,Produksi
2026-04-06 11:04:44,1,1,1,CRCS L,K1AL L1,Mitutoyo,A048,N0172,Posisi Y From A006,Pos. Y,28.1,0.2,-0.2,28.231,0.131,OK,0,Produksi
