id,from_user,from_role,to_role,part,model,ref,parameter,sampleno,date,shift,deviation,kp,category,description,pic,status,report_id,created_at,is_read
b6971377,cmm,Measurement,Produksi,CYL COMP,K2VJ,J151,POSITION X,AL,06 Mar 2026,1,-0.3456,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
ca83c210,cmm,Measurement,Produksi,CYL COMP,K2VJ,J151,POSITION X,AR,06 Mar 2026,1,-0.3541,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
865c3970,cmm,Measurement,Produksi,CYL COMP,K2VJ,J151,POSITION X,CL,06 Mar 2026,1,-0.6424,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
c65f918a,cmm,Measurement,Produksi,CYL COMP,K2VJ,J151,POSITION X,CR,06 Mar 2026,1,-0.6073,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
af08c788,cmm,Measurement,Produksi,CYL COMP,K2VJ,J151,POSITION X,DL,06 Mar 2026,1,-0.756,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
701f762d,cmm,Measurement,Produksi,CYL COMP,K2VJ,J151,POSITION X,DR,06 Mar 2026,1,-0.7444,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
6c32b739,cmm,Measurement,Produksi,CYL COMP,K2VJ,J151,POSITION X,EL,06 Mar 2026,1,-0.7465,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
5a2c46ff,cmm,Measurement,Produksi,CYL COMP,K2VJ,J151,POSITION X,ER,06 Mar 2026,1,-0.7607,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
c4369b14,cmm,Measurement,Produksi,CYL COMP,K2VJ,J151,POSITION Y,BL,06 Mar 2026,1,-0.2255,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
e168de36,cmm,Measurement,Produksi,CYL COMP,K2VJ,J151,POSITION Y,DL,06 Mar 2026,1,0.3851,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
2d7dfb77,cmm,Measurement,Produksi,CYL COMP,K2VJ,J151,POSITION Y,DR,06 Mar 2026,1,0.2526,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
d2bec3d3,cmm,Measurement,Produksi,CYL COMP,K2VJ,J152,POSITION X,AL,06 Mar 2026,1,0.2287,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
b6aa416a,cmm,Measurement,Produksi,CYL COMP,K2VJ,J152,POSITION X,AR,06 Mar 2026,1,0.2321,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,1
33ef9d27,cmm,Measurement,Produksi,CYL COMP,K2VJ,J152,POSITION X,CL,06 Mar 2026,1,0.5466,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
3c9897b6,cmm,Measurement,Produksi,CYL COMP,K2VJ,J152,POSITION X,CR,06 Mar 2026,1,0.4981,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
e14737c2,cmm,Measurement,Produksi,CYL COMP,K2VJ,J152,POSITION X,DL,06 Mar 2026,1,0.6081,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
4b25a03f,cmm,Measurement,Produksi,CYL COMP,K2VJ,J152,POSITION X,DR,06 Mar 2026,1,0.6049,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
bea9ddef,cmm,Measurement,Produksi,CYL COMP,K2VJ,J152,POSITION X,EL,06 Mar 2026,1,0.5757,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,1
f3353cd1,cmm,Measurement,Produksi,CYL COMP,K2VJ,J152,POSITION X,ER,06 Mar 2026,1,0.5905,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,1
5784e7cb,cmm,Measurement,Produksi,CYL COMP,K2VJ,J152,POSITION Y,AL,06 Mar 2026,1,-0.3328,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
5d213bd2,cmm,Measurement,Produksi,CYL COMP,K2VJ,J152,POSITION Y,AR,06 Mar 2026,1,-0.435,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
d69ce001,cmm,Measurement,Produksi,CYL COMP,K2VJ,J152,POSITION Y,CL,06 Mar 2026,1,-0.3259,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
7cb34081,cmm,Measurement,Produksi,CYL COMP,K2VJ,J152,POSITION Y,CR,06 Mar 2026,1,-0.234,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
e7d1d38a,cmm,Measurement,Produksi,CYL COMP,K2VJ,J152,POSITION Y,DL,06 Mar 2026,1,-0.3083,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
86c88f0f,cmm,Measurement,Produksi,CYL COMP,K2VJ,J152,POSITION Y,DR,06 Mar 2026,1,-0.3367,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
bc3326b3,cmm,Measurement,Produksi,CYL COMP,K2VJ,J152,POSITION Y,EL,06 Mar 2026,1,-0.4818,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,1
d0b274dd,cmm,Measurement,Produksi,CYL COMP,K2VJ,J152,POSITION Y,ER,06 Mar 2026,1,-0.5652,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
060cd991,cmm,Measurement,Produksi,CYL COMP,K2VJ,J163,POSITION X,AL,06 Mar 2026,1,-0.0544,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
717a0f8d,cmm,Measurement,Produksi,CYL COMP,K2VJ,K301,POSITION X THD CENTER,BR,06 Mar 2026,1,0.207,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
428f000f,cmm,Measurement,Produksi,CYL COMP,K2VJ,K301,POSITION X THD CENTER,CL,06 Mar 2026,1,0.5584,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
f296a285,cmm,Measurement,Produksi,CYL COMP,K2VJ,K301,POSITION X THD CENTER,CR,06 Mar 2026,1,0.4826,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,1
cc22105c,cmm,Measurement,Produksi,CYL COMP,K2VJ,K301,POSITION X THD CENTER,DL,06 Mar 2026,1,0.3662,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
08b6af5b,cmm,Measurement,Produksi,CYL COMP,K2VJ,K301,POSITION X THD CENTER,DR,06 Mar 2026,1,0.3485,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,1
cb45466c,cmm,Measurement,Produksi,CYL COMP,K2VJ,K301,POSITION X THD CENTER,EL,06 Mar 2026,1,0.4124,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
7a02c1cb,cmm,Measurement,Produksi,CYL COMP,K2VJ,K301,POSITION X THD CENTER,ER,06 Mar 2026,1,0.4209,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
912bc0bb,cmm,Measurement,Produksi,CYL COMP,K2VJ,K301,POSITION Y,CL,06 Mar 2026,1,0.2204,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
391578e9,cmm,Measurement,Produksi,CYL COMP,K2VJ,K301,POSITION Y,DL,06 Mar 2026,1,-0.227,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
91ff3d38,cmm,Measurement,Produksi,CYL COMP,K2VJ,K301,POSITION Y,DR,06 Mar 2026,1,-0.2645,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,1
83379795,cmm,Measurement,Produksi,CYL COMP,K2VJ,K302,POSITION Y,CL,06 Mar 2026,1,0.2207,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
f8f2e861,cmm,Measurement,Produksi,CYL COMP,K2VJ,K302,POSITION Y,CR,06 Mar 2026,1,0.2054,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
84dc1cb7,cmm,Measurement,Produksi,CYL COMP,K2VJ,K302,POSITION Y,DL,06 Mar 2026,1,-0.2448,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
28f508d3,cmm,Measurement,Produksi,CYL COMP,K2VJ,K302,POSITION Y,DR,06 Mar 2026,1,-0.3158,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,1
93a02fc7,cmm,Measurement,Produksi,CYL COMP,K2VJ,K303,POSITION X,CL,06 Mar 2026,1,0.2748,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
7092da8d,cmm,Measurement,Produksi,CYL COMP,K2VJ,K303,POSITION X,CR,06 Mar 2026,1,0.2529,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
cb89c9e2,cmm,Measurement,Produksi,CYL COMP,K2VJ,K303,POSITION X,EL,06 Mar 2026,1,-0.3422,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,1
4a0f53e3,cmm,Measurement,Produksi,CYL COMP,K2VJ,K303,POSITION X,ER,06 Mar 2026,1,-0.386,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
ed9c65fd,cmm,Measurement,Produksi,CYL COMP,K2VJ,K304,POSITION Y,AL,06 Mar 2026,1,-0.3175,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
46a1c42f,cmm,Measurement,Produksi,CYL COMP,K2VJ,K304,POSITION Y,AR,06 Mar 2026,1,-0.2966,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
a584cbdc,cmm,Measurement,Produksi,CYL COMP,K2VJ,K304,POSITION Y,BR,06 Mar 2026,1,-0.2141,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
18edde60,cmm,Measurement,Produksi,CYL COMP,K2VJ,K304,POSITION Y,DL,06 Mar 2026,1,-0.329,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
cc4974ec,cmm,Measurement,Produksi,CYL COMP,K2VJ,K304,POSITION Y,DR,06 Mar 2026,1,-0.3285,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
755f2e59,cmm,Measurement,Produksi,CYL COMP,K2VJ,K304,POSITION Y,EL,06 Mar 2026,1,-0.2812,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
9d92a0a6,cmm,Measurement,Produksi,CYL COMP,K2VJ,K304,POSITION Y,ER,06 Mar 2026,1,-0.326,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
33a34163,cmm,Measurement,Produksi,CYL COMP,K2VJ,K304,POSITION X,CL,06 Mar 2026,1,-0.4028,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
3b982ac2,cmm,Measurement,Produksi,CYL COMP,K2VJ,K304,POSITION X,CR,06 Mar 2026,1,-0.3853,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
286d1f6e,cmm,Measurement,Produksi,CYL COMP,K2VJ,K304,POSITION X,DL,06 Mar 2026,1,-0.5122,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
c83837e6,cmm,Measurement,Produksi,CYL COMP,K2VJ,K304,POSITION X,DR,06 Mar 2026,1,-0.452,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
64e76af3,cmm,Measurement,Produksi,CYL COMP,K2VJ,K304,POSITION X,EL,06 Mar 2026,1,-0.2321,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
9e916c14,cmm,Measurement,Produksi,CYL COMP,K2VJ,K305,POSITION X,AL,06 Mar 2026,1,-0.4149,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
fb75c66b,cmm,Measurement,Produksi,CYL COMP,K2VJ,K305,POSITION X,AR,06 Mar 2026,1,-0.378,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
d82bc94b,cmm,Measurement,Produksi,CYL COMP,K2VJ,K305,POSITION X,BL,06 Mar 2026,1,-0.5028,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,1
2c24680b,cmm,Measurement,Produksi,CYL COMP,K2VJ,K305,POSITION X,BR,06 Mar 2026,1,-0.5613,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
acad1dfa,cmm,Measurement,Produksi,CYL COMP,K2VJ,K305,POSITION X,CL,06 Mar 2026,1,-0.3658,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,1
d195660a,cmm,Measurement,Produksi,CYL COMP,K2VJ,K305,POSITION X,CR,06 Mar 2026,1,-0.3268,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
f355a781,cmm,Measurement,Produksi,CYL COMP,K2VJ,K305,POSITION X,DL,06 Mar 2026,1,-0.6402,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
54fa8c68,cmm,Measurement,Produksi,CYL COMP,K2VJ,K305,POSITION X,DR,06 Mar 2026,1,-0.6644,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
cd2a1287,cmm,Measurement,Produksi,CYL COMP,K2VJ,K305,POSITION X,EL,06 Mar 2026,1,-0.6746,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
4c5e4699,cmm,Measurement,Produksi,CYL COMP,K2VJ,K305,POSITION X,ER,06 Mar 2026,1,-0.7176,,,,,Open,K2VJ_2026-03-06_1,2026-06-04 06:32:01,0
