id,part,model,shift,tanggal,sent_by,status,created_at,sent_at,confirmed_by,confirmed_at
K1AL_L1_CRCS_L_2026-06-04_1,CRCS L,K1AL L1,1,04/06/2026,cmm,draft,2026-06-05 14:24:43,,,
K2SA_CRCS_L_2026-06-04_1,CRCS L,K2SA,1,04/06/2026,cmm,sent,2026-06-05 14:25:49,2026-06-05 14:44:40,,
K2VJ_CYL_COMP_2026-03-06_1,CYL COMP,K2VJ,1,06/03/2026,cmm,sent,2026-06-05 15:16:32,2026-06-05 15:16:39,,
K1AL_L3_CRCS_L_2026-06-04_1,CRCS L,K1AL L3,1,04/06/2026,cmm,sent,2026-06-05 15:17:35,2026-06-05 15:17:38,,
K1AL_L1_CRCS_R_2026-06-04_1,CRCS R,K1AL L1,1,04/06/2026,cmm,sent,2026-06-05 15:42:18,2026-06-05 15:42:21,,
K1AL_L1_CRCS_R_2026-04-08_1,CRCS R,K1AL L1,1,08/04/2026,cmm,sent,2026-06-06 08:41:17,2026-06-06 08:41:41,,
K60_HOLDER_WATER_PUMP_2026-06-02_1,HOLDER WATER PUMP,K60,1,02/06/2026,cmm,draft,2026-06-06 17:37:44,,,
K60_CYL_HEAD_GV_2026-06-02_1,CYL HEAD GV,K60,1,02/06/2026,cmm,draft,2026-06-07 21:48:25,,,
K2SA_CYL_COMP_2026-05-28_1,CYL COMP,K2SA,1,28/05/2026,cmm,draft,2026-06-07 21:48:43,,,
K1AL_CYL_COMP_2026-05-28_1,CYL COMP,K1AL,1,28/05/2026,cmm,draft,2026-06-07 21:48:55,,,
K2V_CYL_COMP_2026-05-28_1,CYL COMP,K2V,1,28/05/2026,cmm,draft,2026-06-07 21:49:55,,,
K1AL_CYL_HEAD_ROUGH_2026-05-28_1,CYL HEAD ROUGH,K1AL,1,28/05/2026,cmm,draft,2026-06-07 21:51:18,,,
K60_CYL_HEAD_NT_2026-06-02_1,CYL HEAD NT,K60,1,02/06/2026,cmm,draft,2026-06-07 21:51:44,,,
K1AL_L3_CYL_HEAD_NT_2026-06-02_1,CYL HEAD NT,K1AL L3,1,02/06/2026,cmm,draft,2026-06-07 21:51:58,,,
