id,rc_key,date,shift,sampleno,part,model,ref,id_ukur,parameter,deviation,category,description,corrective_action,status,inputted_by,inputted_role,pic,inputted_at,updated_at
b201688a,06 Apr 2026|1|1|CRCS L|K1AL L1|A041|Posisi X,06 Apr 2026,1,1,CRCS L,K1AL L1,A041,N0084,Posisi X,0.201,Tooling,Coolant tersumbat menyebabkan panas berlebih,"Tool diganti, measurement diulang dan hasilnya OK",Open,operator_3,Produksi,Andi,2026-04-06 12:31:44,2026-04-06 13:06:44
bf85970c,06 Apr 2026|1|1|CRCS L|K1AL L1|A041|Posisi Y,06 Apr 2026,1,1,CRCS L,K1AL L1,A041,N0084,Posisi Y,0.302,Tooling,Tool life habis namun belum diganti,"Re-measurement dilakukan, part dinyatakan OK setelah adjustment",Resolved,produksi_a,Produksi,Budi,2026-04-06 14:05:44,2026-04-06 15:53:44
5416aa5e,06 Apr 2026|1|1|CRCS L|K1AL L1|A042|Posisi Y,06 Apr 2026,1,1,CRCS L,K1AL L1,A042,N0088,Posisi Y,0.338,Mesin / Machine,Kalibrasi probe terlambat dilakukan,Fixture di-check dan di-realign ke posisi nominal,Investigated,produksi_b,Produksi,Wahyu,2026-04-06 11:40:44,2026-04-06 14:03:44
78e51122,06 Apr 2026|1|1|CRCS L|K1AL L1|A047|Posisi Y,06 Apr 2026,1,1,CRCS L,K1AL L1,A047,N0108,Posisi Y,-0.217,Setup / Fixture,Clamp longgar menyebabkan pergeseran part,,Investigated,operator_3,Produksi,Wahyu,2026-04-06 11:35:44,2026-04-06 12:15:44
5f3cf682,06 Apr 2026|1|1|CRCS L|K1AL L1|B078|Posisi X,06 Apr 2026,1,1,CRCS L,K1AL L1,B078,N0123,Posisi X,0.212,Material,Burr pada permukaan part mempengaruhi pengukuran,,Investigated,produksi_a,Produksi,Wahyu,2026-04-06 13:00:44,2026-04-06 13:26:44
a8cfca9c,06 Apr 2026|1|1|CRCS L|K1AL L1|B078|Posisi Y,06 Apr 2026,1,1,CRCS L,K1AL L1,B078,N0123,Posisi Y,0.217,Mesin / Machine,Thermal expansion mesin akibat suhu ruangan,Fixture di-check dan di-realign ke posisi nominal,Investigated,operator_3,Produksi,,2026-04-06 12:41:44,2026-04-06 12:52:44
8ac65ef8,06 Apr 2026|1|1|CRCS L|K1AL L1|B075|Posisi X,06 Apr 2026,1,1,CRCS L,K1AL L1,B075,N0213,Posisi X,-0.204,Program CMM,Path program menyebabkan probe collision minor,"Re-measurement dilakukan, part dinyatakan OK setelah adjustment",Open,operator_3,Produksi,Rini,2026-04-06 13:55:44,2026-04-06 15:10:44
b3cf30e2,06 Apr 2026|1|1|CRCS L|K1AL L1|B075|Posisi Y,06 Apr 2026,1,1,CRCS L,K1AL L1,B075,N0213,Posisi Y,-0.282,Program CMM,Probe approach speed terlalu cepat,Adjustment fixture dan verifikasi ulang dengan sampel berikutnya,Investigated,produksi_c,Produksi,Andi,2026-04-06 14:23:44,2026-04-06 15:21:44
a3c84f75,06 Apr 2026|1|1|CRCS L|K1AL L1|B011|Posisi X Reamer 8H8,06 Apr 2026,1,1,CRCS L,K1AL L1,B011,N0252,Posisi X Reamer 8H8,0.065,Lainnya,Penyebab masih dalam investigasi lebih lanjut,"Part di-rework, re-measurement setelah proses",Investigated,operator_3,Produksi,Rini,2026-04-06 12:45:44,2026-04-06 14:41:44
72d093ab,06 Apr 2026|1|1|CRCS L|K1AL L1|-|-,06 Apr 2026,1,1,CRCS L,K1AL L1,-,N0259,-,0.077,Setup / Fixture,Part tidak rata saat setup — ada celah di datum,Material dikembalikan ke gudang untuk inspeksi ulang,Investigated,operator_3,Produksi,Andi,2026-04-06 12:42:44,2026-04-06 15:41:44
73d1e0a1,06 Apr 2026|1|1|CRCS L|K1AL L1|B058|Posisi X,06 Apr 2026,1,1,CRCS L,K1AL L1,B058,N0276,Posisi X,0.289,Program CMM,Program belum di-update setelah ECR terakhir,Preventive maintenance dijadwalkan,Investigated,operator_1,Produksi,Wahyu,2026-04-06 12:36:44,2026-04-06 13:17:44
3802865b,06 Apr 2026|1|1|CRCS L|K1AL L1|B054|Posisi X,06 Apr 2026,1,1,CRCS L,K1AL L1,B054,N0313,Posisi X,-0.207,Material,Material dari batch berbeda dengan properties berbeda,"Tool diganti, measurement diulang dan hasilnya OK",Resolved,produksi_a,Produksi,Hendra,2026-04-06 14:29:44,2026-04-06 15:52:44
09beb1a3,06 Apr 2026|1|1|CRCS L|K1AL L1|B054|Posisi Y,06 Apr 2026,1,1,CRCS L,K1AL L1,B054,N0313,Posisi Y,-0.263,Lainnya,Kemungkinan kombinasi beberapa faktor,"Part di-rework, re-measurement setelah proses",Open,produksi_b,Produksi,Rini,2026-04-06 12:42:44,2026-04-06 12:58:44
d83dbd22,06 Apr 2026|1|1|CRCS L|K1AL L1|A026|Posisi X,06 Apr 2026,1,1,CRCS L,K1AL L1,A026,N0356,Posisi X,0.205,Setup / Fixture,Datum reference tidak sesuai drawing,Material dikembalikan ke gudang untuk inspeksi ulang,Resolved,produksi_c,Produksi,Sari,2026-04-06 13:31:44,2026-04-06 14:07:44
265aae16,06 Apr 2026|1|1|CRCS L|K1AL L1|B026|Posisi X,06 Apr 2026,1,1,CRCS L,K1AL L1,B026,N0356,Posisi X,0.205,Setup / Fixture,Fixture bergeser setelah pergantian shift,Operator di-brief ulang terkait SOP setup dan mounting,Resolved,operator_1,Produksi,Wahyu,2026-04-06 14:45:44,2026-04-06 17:14:44
